law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0044580,Wet vliegbelasting,ArtikelI,,,,,,,,Artikel I,,Wijzigt de Wet belastingen op milieugrondslag.
BWBR0044580,Wet vliegbelasting,ArtikelIa,,,,,,,,Artikel Ia,,Wijzigt de Wet minimum CO2-prijs elektriciteitsopwekking.
BWBR0044580,Wet vliegbelasting,ArtikelIb,,,,,,,,Artikel Ib,,Onze Minister van Financiën zendt binnen vijf jaar na de inwerkingtreding van deze wet aan de Staten-Generaal een verslag over de doeltreffendheid en de effecten van de vliegbelasting als bedoeld in hoofdstuk VII van de Wet belastingen op milieugrondslag in de praktijk.
BWBR0044580,Wet vliegbelasting,ArtikelII,,,,,,,,Artikel II,,"Deze wet treedt in werking op een bij koninklijk besluit vast te stellen tijdstip, waarbij kan worden bepaald wat de lengte van het eerste belastingtijdvak wordt."
BWBR0044580,Wet vliegbelasting,ArtikelIII,,,,,,,,Artikel III,,Deze wet wordt aangehaald als: Wet vliegbelasting.
