law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0045946,Wet adviescollege rechtspositie politieke ambtsdragers,Artikel1,,,,,,,,Artikel 1,,"Er is een adviescollege rechtspositie politieke ambtsdragers. Het adviescollege bestaat, met inbegrip van de voorzitter, uit ten minste vijf leden."
BWBR0045946,Wet adviescollege rechtspositie politieke ambtsdragers,Artikel2,,,,,,,,Artikel 2,,"Het adviescollege heeft tot taak de regering te adviseren over het beloningsniveau, de onderlinge beloningsverhoudingen en overige geldelijke aanspraken van: de leden van de Eerste en Tweede Kamer der Staten-Generaal; Onze ministers en staatssecretarissen; de leden van de Raad van State; de leden van de Algemene Rekenkamer; de Nationale ombudsman en de substituut-ombudsmannen; de leden van provinciale staten; de commissarissen van de Koning en gedeputeerden; de leden van gemeenteraden; de burgemeesters en wethouders; de leden van het algemeen bestuur van waterschappen; de voorzitters en leden van het dagelijks bestuur van waterschappen; de leden van de eilandsraden; de gezaghebbers en de eilandgedeputeerden, en de Rijksvertegenwoordiger BES."
BWBR0045946,Wet adviescollege rechtspositie politieke ambtsdragers,Artikel3,,,,,,,,Artikel 3,,"De leden van het adviescollege hebben zitting zonder last. De leden van het adviescollege vervullen geen functies waarvan de uitoefening onverenigbaar is met de onafhankelijke taakvervulling van het adviescollege. Een lid van het adviescollege bekleedt geen functie, genoemd in artikel 2, en heeft gedurende de twee jaar voorafgaand aan diens benoeming niet een in artikel 2, met uitzondering van de functies van lid van de Raad van State, lid van de Algemene Rekenkamer, Nationale ombudsman of substituut-ombudsman of Rijksvertegenwoordiger BES, genoemde functie bekleed. Een lid van het adviescollege bekleedt geen functie als topfunctionaris als bedoeld in artikel 1.1, onderdeel b, van de Wet normering topinkomens. Alvorens hun lidmaatschap te aanvaarden, leggen de te benoemen voorzitter en leden een verklaring af dat zij tot het verkrijgen van hun benoeming rechtstreeks noch middellijk, onder welke naam of onder welk voorwendsel ook, aan iemand iets hebben gegeven of beloofd, alsmede dat zij om iets in hun ambt te doen of te laten rechtstreeks noch middellijk van iemand enig geschenk of enige belofte hebben aangenomen of zullen aannemen. De verklaring gaat vergezeld van een opgave van de functies die de te benoemen leden vervullen"
BWBR0045946,Wet adviescollege rechtspositie politieke ambtsdragers,Artikel4,,,,,,,,Artikel 4,,"Aanpassingen in het beloningsniveau, de onderlinge beloningsverhoudingen en overige geldelijke aanspraken van de leden van de Eerste respectievelijk Tweede Kamer der Staten-Generaal als gevolg van een advies van het adviescollege treden niet in werking dan nadat een nieuw gekozen Eerste respectievelijk Tweede Kamer is samengekomen na het tijdstip dat het advies gegeven is. Aanpassingen in het beloningsniveau, de onderlinge beloningsverhoudingen en overige geldelijke aanspraken van Onze ministers en staatssecretarissen als gevolg van een advies van het adviescollege treden niet in werking dan nadat nieuwe ministers en staatssecretarissen naar aanleiding van een nieuw gekozen Tweede Kamer beëdigd zijn na het tijdstip dat het advies gegeven is."
BWBR0045946,Wet adviescollege rechtspositie politieke ambtsdragers,Artikel5,,,,,,,,Artikel 5,,Deze wet treedt in werking op een bij koninklijk besluit te bepalen tijdstip.
BWBR0045946,Wet adviescollege rechtspositie politieke ambtsdragers,Artikel6,,,,,,,,Artikel 6,,Deze wet wordt aangehaald als: Wet adviescollege rechtspositie politieke ambtsdragers.
