law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0030836,Deltawet waterveiligheid en zoetwatervoorziening,ArtikelI,,,,,,,,Artikel I,,Vervallen
BWBR0030836,Deltawet waterveiligheid en zoetwatervoorziening,ArtikelII,,,,,,,,Artikel II,,Vervallen
BWBR0030836,Deltawet waterveiligheid en zoetwatervoorziening,ArtikelIII,,,,,,,,Artikel III,,"In het belang van de integrale besluitvorming en met het oog op de ambities, bedoeld in artikel 4.9, derde lid, Waterwet, kan Onze Minister van Infrastructuur en Milieu bij wijze van experiment, in afwijking van de artikelen 7.22a en 7.22d van de Waterwet, ten laste van het deltafonds uitgaven doen of subsidies verstrekken ten behoeve van voorzieningen, maatregelen of onderzoek ter bevordering of bescherming van doelen op andere beleidsterreinen, die rechtstreeks samenhangen met de voorzieningen, maatregelen of activiteiten, bedoeld in dat artikel 7.22d, eerste en tweede lid, voor zover die uitgaven en subsidies worden gedekt door ontvangsten als bedoeld in artikel 7.22c, eerste lid, onderdeel b of c, van die wet. De artikelen 3 tot en met 6 van de Kaderwet subsidies Verkeer en Waterstaat zijn van toepassing."
BWBR0030836,Deltawet waterveiligheid en zoetwatervoorziening,ArtikelIV,,,,,,,,Artikel IV,,"Het bij of krachtens de Wet Infrastructuurfonds bepaalde, zoals dat luidde voor het tijdstip van inwerkingtreding van artikel II van deze wet, blijft van toepassing op subsidieaanvragen en -verstrekkingen gedaan voor genoemd tijdstip."
BWBR0030836,Deltawet waterveiligheid en zoetwatervoorziening,ArtikelV,,,,,,,,Artikel V,,Onze Minister van Infrastructuur en Milieu zendt uiterlijk tien jaren na inwerkingtreding van artikel III van deze wet aan de Staten-Generaal een verslag over de doeltreffendheid en effecten van artikel III van deze wet in de praktijk. Bij het verslag betrekt Onze Minister de bevindingen van de deltacommissaris met betrekking tot het bepaalde in artikel III.
BWBR0030836,Deltawet waterveiligheid en zoetwatervoorziening,ArtikelVI,,,,,,,,Artikel VI,,Vervallen
BWBR0030836,Deltawet waterveiligheid en zoetwatervoorziening,ArtikelVII,,,,,,,,Artikel VII,,Deze wet wordt aangehaald als: Deltawet waterveiligheid en zoetwatervoorziening.
