law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0013373,Eerste evaluatiewet Awb,ArtikelI,,,,,,,,Artikel I,,Wijzigt de Algemene wet bestuursrecht.
BWBR0013373,Eerste evaluatiewet Awb,ArtikelII,,,,,,,,Artikel II,,Wijzigt de Wet op de Raad van State.
BWBR0013373,Eerste evaluatiewet Awb,ArtikelIII,,,,,,,,Artikel III,,Wijzigt de Beroepswet.
BWBR0013373,Eerste evaluatiewet Awb,ArtikelIV,,,,,,,,Artikel IV,,Wijzigt de Wet bestuursrechtspraak bedrijfsorganisatie.
BWBR0013373,Eerste evaluatiewet Awb,ArtikelV,,,,,,,,Artikel V,,Wijzigt de Algemene wet inzake rijksbelastingen.
BWBR0013373,Eerste evaluatiewet Awb,ArtikelVI,,,,,,,,Artikel VI,,Wijzigt de Wet Nationale ombudsman.
BWBR0013373,Eerste evaluatiewet Awb,ArtikelVII,,,,,,,,Artikel VII,,"Ten aanzien van de doorzending van een bezwaar- of beroepschrift tegen een besluit dat voor de datum van inwerkingtreding van deze wet is bekendgemaakt, blijft artikel 6:15, derde lid, van de Algemene wet van bestuursrecht zoals dat luidde voor dat tijdstip van toepassing. Ten aanzien van de bevoegdheid van de rechtbank inzake een beroep tegen een besluit dat voor de datum van inwerkingtreding van deze wet is bekendgemaakt blijft artikel 8:7, eerste lid, van de Algemene wet van bestuursrecht zoals dat luidde voor dat tijdstip van toepassing. Indien op de dag waarop deze wet in werking treedt een griffierecht verschuldigd of voldaan is, blijft hierop het oude recht van toepassing."
BWBR0013373,Eerste evaluatiewet Awb,ArtikelVIII,,,,,,,,Artikel VIII,,"Deze wet treedt in werking met ingang van de eerste dag van de tweede kalendermaand na de datum van uitgifte van het Staatsblad waarin zij wordt geplaatst, met uitzondering van artikel VI, dat in werking treedt met ingang van de dag na de datum van uitgifte van het Staatsblad waarin deze wet wordt geplaatst en terugwerkt tot en met 1 juli 1999."
BWBR0013373,Eerste evaluatiewet Awb,ArtikelIX,,,,,,,,Artikel IX,,Deze wet wordt aangehaald als: Eerste evaluatiewet Awb.
