law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0002029,Wet voorbereiding van de vaststelling van een Centraal Economisch Plan,Artikel1,,,,,,,,Artikel 1,,"In deze wet wordt verstaan onder: Onze Ministers: Onze Ministers van Economische Zaken en Klimaat, van Infrastructuur en Milieu, van Financiën, van Binnenlandse Zaken en Koninkrijksrelaties, van Buitenlandse Zaken en van Sociale Zaken en Werkgelegenheid."
BWBR0002029,Wet voorbereiding van de vaststelling van een Centraal Economisch Plan,Artikel2,,,,,,,,Artikel 2,,"Er is een Centraal Planbureau, dat ressorteert onder Onze Minister van Economische Zaken en Klimaat. Aan het hoofd van het Bureau staat een directie, bestaande uit een directeur en twee onder-directeuren."
BWBR0002029,Wet voorbereiding van de vaststelling van een Centraal Economisch Plan,Artikel3,,,,,,,,Artikel 3,,"Het Centraal Planbureau heeft tot taak het verrichten van alle werkzaamheden met betrekking tot het voorbereiden van een Centraal Economisch Plan, dat op geregelde tijden ten behoeve van de coördinatie van het regeeringsbeleid op economisch, sociaal en financieel gebied door de Regeering wordt vastgesteld, alsmede het uitbrengen van adviezen over algemeene vragen, welke zich ten aanzien van de verwezenlijking van het plan kunnen voordoen. Het Centraal Economisch Plan is een evenwichtig samenstel van schattingen en richtlijnen met betrekking tot de Nederlandsche volkshuishouding. Het Centraal Economisch Plan omvat onder meer verzamelingen van cijfers, betrekking hebbende op de toekomstige grootte van de voortbrenging in den ruimsten zin, op de toekomstige hoogte en ontwikkeling van het prijsniveau, van het nationale inkomen en zijn componenten, op de besteding van dat inkomen en op alle verdere grootheden, die voor een goede coördinatie van het economisch, sociaal en financieel beleid van belang zijn."
BWBR0002029,Wet voorbereiding van de vaststelling van een Centraal Economisch Plan,Artikel4,,,,,,,,Artikel 4,,"Er is een Centrale Plancommissie. De commissie bestaat uit ten hoogste twaalf leden. De voorzitter en de overige leden van de commissie worden benoemd, geschorst en ontslagen door Onze Minister van Economische Zaken en Klimaat, in overeenstemming met het gevoelen van de ministerraad. De vergaderingen van de commissie kunnen worden bijgewoond door de directie van het Centraal Planbureau."
BWBR0002029,Wet voorbereiding van de vaststelling van een Centraal Economisch Plan,Artikel5,,,,,,,,Artikel 5,,De Centrale Plancommissie adviseert de directie van het Centraal Planbureau met betrekking tot de werkzaamheden van het Bureau.
BWBR0002029,Wet voorbereiding van de vaststelling van een Centraal Economisch Plan,Artikel6,,,,,,,,Artikel 6,,"Onze Minister van Economische Zaken en Klimaat kan, in overleg met dengene Onzer Ministers, wien het aangaat voor het uitwerken van onderdeelen van het Centraal Economisch Plan werkcommissies instellen. Een werkcommissie bestaat uit: een of meer vertegenwoordigers van het Centraal Planbureau; een of meer vertegenwoordigers van dengene Onzer Ministers, wien het aangaat; een of meer vertegenwoordigers van het bedrijfsleven of andere belanghebbenden in het betrokken onderdeel. De voorzitter en de overige leden van een werkcommissie worden benoemd en ontslagen door Onze Minister van Economische Zaken en Klimaat, in overleg met dengene Onzer Ministers, wien het aangaat."
BWBR0002029,Wet voorbereiding van de vaststelling van een Centraal Economisch Plan,Artikel7,,,,,,,,Artikel 7,,De werkcommissies adviseeren en steunen de directie van het Centraal Planbureau bij de uitwerking van de onderdeelen van het Centraal Economisch Plan.
BWBR0002029,Wet voorbereiding van de vaststelling van een Centraal Economisch Plan,Artikel8,,,,,,,,Artikel 8,,Deze wet treedt in werking met ingang van den dag na dien harer afkondiging.
