law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0034367,Wet bepaling van de jaarlijkse uitkering aan de regent,Artikel1,,,,,,,,Artikel 1,,De regent ontvangt jaarlijks een uitkering ten laste van het Rijk die in mindering wordt gebracht op de jaarlijkse uitkering aan de Koning.
BWBR0034367,Wet bepaling van de jaarlijkse uitkering aan de regent,Artikel2,,,,,,,,Artikel 2,,"De uitkering aan de regent is uit de volgende gedeelten samengesteld: het gedeelte van de uitkering aan de Koning dat betrekking heeft op het inkomensbestanddeel, vermeld onder A van de in het tweede lid van artikel 1 van de Wet financieel statuut van het koninklijk huis opgenomen tabel, verminderd met het gedeelte van het bedrag van de uitkering aan de echtgenoot of echtgenote van de Koning vermeld onder A van deze tabel; het gedeelte van de uitkering aan de Koning dat betrekking heeft op de personele en materiële uitgaven, vermeld onder B van de in het tweede lid, van artikel 1 van de Wet financieel statuut van het koninklijk huis opgenomen tabel, verminderd met een tiende deel hiervan."
BWBR0034367,Wet bepaling van de jaarlijkse uitkering aan de regent,Artikel3,,,,,,,,Artikel 3,,De in de artikelen 1 en 2 bedoelde uitkering is vrij van persoonlijke belastingen.
BWBR0034367,Wet bepaling van de jaarlijkse uitkering aan de regent,Artikel4,,,,,,,,Artikel 4,,Bij koninklijk besluit kan aan de regent ten laste van het Rijk een woon- en werkverblijf tot gebruik ter beschikking worden gesteld.
BWBR0034367,Wet bepaling van de jaarlijkse uitkering aan de regent,Artikel5,,,,,,,,Artikel 5,,"De Wet van 2 december 1981, houdende bepaling van de som voor de kosten van het regentschap (Stb. 1981, 730), wordt ingetrokken."
BWBR0034367,Wet bepaling van de jaarlijkse uitkering aan de regent,Artikel6,,,,,,,,Artikel 6,,Deze wet treedt in werking met ingang van de dag na de datum van uitgifte van het Staatsblad waarin zij wordt geplaatst.
