law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0015008,Concessiewet personenvervoer per trein,ArtikelI,,,,,,,,Artikel I,Aanvulling van de Wet personenvervoer 2000,Wijzigt de Wet personenvervoer 2000.
BWBR0015008,Concessiewet personenvervoer per trein,ArtikelII,,,,,,,,Artikel II,Overgangsbepaling bestaande openbare-dienstcontracten,"Tot zes maanden na het tijdstip waarop artikel I, onderdeel A, van deze wet in werking is getreden is artikel 19 van de Wet personenvervoer 2000 niet van toepassing op openbaar vervoer per trein dat gedurende die periode wordt verricht ter uitvoering van een voor dat tijdstip tot stand gekomen openbare-dienstcontract als bedoeld in artikel 14 van verordening (EEG) nr. 1191/69 van de Raad van de Europese Gemeenschappen van 26 juni 1969 betreffende het optreden van de lidstaten ten aanzien van met het begrip openbare dienst verbonden verplichtingen op het gebied van het vervoer per spoor, over de weg en over de binnenwateren (PbEG L 156). Tot zes maanden na het tijdstip waarop artikel I, onderdeel A, van deze wet in werking is getreden is artikel 60a van de Wet personenvervoer 2000 niet van toepassing op concessies voor openbaar vervoer per trein dat voordien werd verricht ter uitvoering van een openbare-dienstcontract als bedoeld in het eerste lid."
BWBR0015008,Concessiewet personenvervoer per trein,ArtikelIII,,,,,,,,Artikel III,Overgangsbepaling niet-vervoersgerelateerde activiteiten concessiehouder,"Indien een concessiehouder als bedoeld in artikel 69, eerste lid, van de Wet personenvervoer 2000 op het tijdstip waarop zowel dat artikel als artikel I, onderdeel PP, van deze wet in werking zijn getreden, werkzaamheden verricht die op grond daarvan niet zijn toegestaan, worden die werkzaamheden binnen twaalf maanden na dat tijdstip beëindigd of overgedragen aan een privaatrechtelijke rechtspersoon. Artikel 69, eerste lid, van de Wet personenvervoer 2000 geldt in die periode niet ten aanzien van die werkzaamheden."
BWBR0015008,Concessiewet personenvervoer per trein,ArtikelIV,,,,,,,,Artikel IV,Wijziging van de Wet op de accijns,Wijzigt de Wet op de accijns.
BWBR0015008,Concessiewet personenvervoer per trein,ArtikelV,,,,,,,,Artikel V,Wijziging van de Wet op de economische delicten,Wijzigt de Wet op de economische delicten.
BWBR0015008,Concessiewet personenvervoer per trein,ArtikelVI,,,,,,,,Artikel VI,Inwerkingtreding,"De artikelen van deze wet treden in werking op een bij koninklijk besluit te bepalen tijdstip, dat voor de verschillende artikelen of onderdelen daarvan verschillend kan worden vastgesteld."
BWBR0015008,Concessiewet personenvervoer per trein,ArtikelVII,,,,,,,,Artikel VII,Citeertitel,Deze wet wordt aangehaald als: Concessiewet personenvervoer per trein.
