law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0037085,Wet tegengaan huwelijksdwang,ArtikelI,,,,,,,,Artikel I,,Wijzigt het Burgerlijk Wetboek Boek 1.
BWBR0037085,Wet tegengaan huwelijksdwang,ArtikelII,,,,,,,,Artikel II,,Wijzigt het Burgerlijk Wetboek Boek 10.
BWBR0037085,Wet tegengaan huwelijksdwang,ArtikelIII,,,,,,,,Artikel III,,"Artikel 31 van Boek 1 van het Burgerlijk Wetboek zoals het gold voor het tijdstip van inwerkingtreding van deze wet, is ook na dit tijdstip van toepassing indien de aangifte of aankondiging van het huwelijksvoornemen bij de ambtenaar van de burgerlijke stand voor dit tijdstip heeft plaatsgehad. Artikel 233 van Boek 1 van het Burgerlijk Wetboek is niet van toepassing op hen die voor de inwerkingtreding van deze wet als gevolg van het sluiten van een huwelijk of geregistreerd partnerschap meerderjarig zijn geworden. Voor deze personen blijft het recht van toepassing zoals dat gold onmiddellijk voorafgaande aan het tijdstip van inwerkingtreding van deze wet."
BWBR0037085,Wet tegengaan huwelijksdwang,ArtikelIV,,,,,,,,Artikel IV,,Wijzigt deze wet.
BWBR0037085,Wet tegengaan huwelijksdwang,ArtikelIVa,,,,,,,,Artikel IVa,,Onze Minister van Veiligheid en Justitie zendt binnen vier jaar na de inwerkingtreding van deze wet aan de Staten-Generaal een verslag over de doeltreffendheid en de effecten van deze wet in de praktijk.
BWBR0037085,Wet tegengaan huwelijksdwang,ArtikelV,,,,,,,,Artikel V,,Deze wet treedt in werking op een bij koninklijk besluit te bepalen tijdstip.
BWBR0037085,Wet tegengaan huwelijksdwang,ArtikelVI,,,,,,,,Artikel VI,,Deze wet wordt aangehaald als de Wet tegengaan huwelijksdwang.
