law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0002798,Wet ambtelijk toezicht bij openbare verkopingen,Artikel1,,,,,,,,Artikel 1,,"Het is verboden openbare verkopingen bij opbod, bij opbod en afslag of bij afslag van roerende zaken, met uitzondering van zaken, toebehorende aan of beheerd door de Staat, provincies, gemeenten, waterschappen, veenschappen, veenpolders of andere lichamen aan wie krachtens de Grondwet verordenende bevoegdheid is verleend, te houden, anders dan ten overstaan van notarissen of van deurwaarders bij de rechterlijke colleges."
BWBR0002798,Wet ambtelijk toezicht bij openbare verkopingen,Artikel2,,,,,,,,Artikel 2,,"De bepaling van artikel 1 is niet van toepassing op verkopingen, welke gedurende ten minste zes weken van het jaar ten minste eenmaal per week in hetzelfde gebouw of op het zelfde terrein plaats hebben en waarbij uitsluitend voortbrengselen van een zelfde tak van bedrijf worden verkocht alsmede op verkopingen van te velde staande gewassen en op verkopingen door de strandvonder, bedoeld in de artikelen 14 en 17 van de Wet op de strandvonderij. Onze Minister van Justitie kan bepalen, dat de bepaling van artikel 1 niet van toepassing is op de door hem aan te wijzen openbare verkopingen bij afslag."
BWBR0002798,Wet ambtelijk toezicht bij openbare verkopingen,Artikel3,,,,,,,,Artikel 3,,Bevat wijzigingen in andere regelgeving.
BWBR0002798,Wet ambtelijk toezicht bij openbare verkopingen,Artikel4,,,,,,,,Artikel 4,,"Deze wet kan worden aangehaald als Wet ambtelijk toezicht bij openbare verkopingen en treedt in werking op het tijdstip waarop artikel 103, tweede, derde en vierde lid van de Registratiewet 1917 vervalt."
