law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0002448,Algemene termijnenwet,Artikel1,,,,,,,,Artikel 1,,"Een in een wet gestelde termijn die op een zaterdag, zondag of algemeen erkende feestdag eindigt, wordt verlengd tot en met de eerstvolgende dag die niet een zaterdag, zondag of algemeen erkende feestdag is. Het vorige lid geldt niet voor termijnen, bepaald door terugrekening vanaf een tijdstip of een gebeurtenis."
BWBR0002448,Algemene termijnenwet,Artikel2,,,,,,,,Artikel 2,,"Een in een wet gestelde termijn van ten minste drie dagen wordt, zo nodig, zoveel verlengd, dat daarin ten minste twee dagen voorkomen die niet een zaterdag, zondag of algemeen erkende feestdag zijn."
BWBR0002448,Algemene termijnenwet,Artikel3,,,,,,,,Artikel 3,,"Algemeen erkende feestdagen in de zin van deze wet zijn: de Nieuwjaarsdag, de Christelijke tweede Paas- en Pinksterdag, de beide Kerstdagen, de Hemelvaartsdag, de dag waarop de verjaardag van de Koning wordt gevierd en de vijfde mei. Voor de toepassing van deze wet wordt de Goede Vrijdag met de in het vorige lid genoemde dagen gelijkgesteld. Wij kunnen bepaalde dagen voor de toepassing van deze wet met de in het eerste lid genoemde gelijkstellen. Ons besluit wordt in de Nederlandse Staatscourant openbaar gemaakt."
BWBR0002448,Algemene termijnenwet,Artikel4,,,,,,,,Artikel 4,,"Deze wet geldt niet voor termijnen: omschreven in uren, in meer dan 90 dagen, in meer dan twaalf weken, in meer dan drie maanden, of in een of meer jaren; betreffende de bekendmaking, inwerkingtreding of buitenwerkingtreding van wettelijke voorschriften; van vrijheidsbeneming."
BWBR0002448,Algemene termijnenwet,Artikel5,,,,,,,,Artikel 5,,"Op in een algemene maatregel van bestuur gestelde termijnen zijn de artikelen 1-4 van overeenkomstige toepassing, tenzij bij algemene maatregel van bestuur iets anders is bepaald."
BWBR0002448,Algemene termijnenwet,Artikel5a,,,,,,,,Artikel 5a,,"Deze wet is mede van toepassing in de openbare lichamen Bonaire, Sint Eustatius en Saba."
BWBR0002448,Algemene termijnenwet,Artikel6,,,,,,,,Artikel 6,,Deze wet kan worden aangehaald als: Algemene termijnenwet.
BWBR0002448,Algemene termijnenwet,Artikel7,,,,,,,,Artikel 7,,"Deze wet treedt in werking met ingang van 1 april 1965. Zij kan voor termijnen, gesteld in door Ons, door plaatsing op een daartoe door Ons aangehouden lijst, aangewezen wetten en algemene maatregelen van bestuur, op door Ons te bepalen eerdere tijdstippen in werking treden."
