law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0002174,Wet Pensioenfonds Koninklijk Conservatorium,Artikel1,,,,,,,,Artikel 1,,"Het voortbestaan van het ""Pensioenfonds voor de vaste onderwijzers van het Koninklijk Conservatorium voor Muziek"" wordt goedgekeurd."
BWBR0002174,Wet Pensioenfonds Koninklijk Conservatorium,Artikel2,,,,,,,,Artikel 2,,"Ten aanzien van de bestemming en het beheer van het fonds stelt Onze Minister van Onderwijs, Kunsten en Wetenschappen een reglement vast met inachtneming van het hiernavolgende."
BWBR0002174,Wet Pensioenfonds Koninklijk Conservatorium,Artikel3,,,,,,,,Artikel 3,,"Het fonds is bestemd voor de uitkering van pensioenen, die zijn toegekend vóór 1 Januari 1922, alsmede van pensioenen, die na die datum zijn toegekend op grond van diensttijd, vóór 1 Januari 1922 bij het Conservatorium doorgebracht, aan personen, die bij het Conservatorium in dienst zijn geweest, aan hun weduwen en aan hun kinderen, die de leeftijd van achttien jaar nog niet hebben bereikt."
BWBR0002174,Wet Pensioenfonds Koninklijk Conservatorium,Artikel4,,,,,,,,Artikel 4,,"Het beheer van het fonds berust bij de Commissie van Toezicht op het Conservatorium. Ingeval van opheffing dezer Commissie regelt Onze Minister van Onderwijs, Kunsten en Wetenschappen, op welke wijze in het beheer zal worden voorzien."
BWBR0002174,Wet Pensioenfonds Koninklijk Conservatorium,Artikel5,,,,,,,,Artikel 5,,"Voor een verandering in de wijze van belegging van de middelen van het fonds is de goedkeuring vereist van Onze Minister van Onderwijs, Kunsten en Wetenschappen."
BWBR0002174,Wet Pensioenfonds Koninklijk Conservatorium,Artikel6,,,,,,,,Artikel 6,,"De Commissie van Toezicht verstrekt aan Onze Minister van Onderwijs, Kunsten en Wetenschappen, aan Onze Minister van Financiën en aan de Algemene Rekenkamer alle door hen gevraagde inlichtingen met betrekking tot het beheer van het fonds en verleent hun vertegenwoordigers desgewenst inzage in de boekhouding van het fonds. Zij zendt jaarlijks vóór 1 Mei een verslag betreffende het beheer van het fonds over het afgelopen jaar, vergezeld van een rekening en verantwoording, aan Onze Minister van Onderwijs, Kunsten en Wetenschappen en aan de Algemene Rekenkamer; hun goedkeuring ontheft de Commissie van de verantwoordelijkheid voor het door haar gevoerde beheer."
BWBR0002174,Wet Pensioenfonds Koninklijk Conservatorium,Artikel7,,,,,,,,Artikel 7,,"Wanneer geen personen meer voor uitkeringen uit het fonds in aanmerking komen, zal het fonds worden geliquideerd. De liquidateur wordt aangewezen door Onze Minister van Onderwijs, Kunsten en Wetenschappen en gedraagt zich naar diens aanwijzingen. Aan het liquidatiesaldo zal op nader door Onze Minister van Onderwijs, Kunsten en Wetenschappen in overeenstemming met Onze Minister van Financiën te bepalen wijze een bestemming worden gegeven in verband met de oprichting en de inrichting van een nieuw gebouw voor het Conservatorium."
BWBR0002174,Wet Pensioenfonds Koninklijk Conservatorium,Artikel8,,,,,,,,Artikel 8,,"Deze wet treedt in werking op de dag na haar afkondiging in het Staatsblad en kan worden aangehaald onder de titel ""Wet Pensioenfonds Koninklijk Conservatorium""."
