law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0001846,Wet afschaffing doodstraf,Artikel1,,,,,,,,Artikel 1,,Vervallen
BWBR0001846,Wet afschaffing doodstraf,Artikel2,,,,,,,,Artikel 2,,"De doodstraf wordt mede afgeschaft in de gevallen, waarin zij door de militaire strafwetten wordt bedreigd, doch alleen ten aanzien van misdrijven in tijd van vrede en niet voor den vijand gepleegd. Niettemin blijft de doodstraf gehandhaafd in alle gevallen van oproer, opstand, zamenzwering, zamenrotting of muiterij, voorzien bij de artt. 85 tot 92 van het Crimineel Wetboek voor het krijgsvolk te water, voor zooverre deze misdrijven aan boord worden gepleegd in volle zee of in den vreemde ook in tijd van vrede."
BWBR0001846,Wet afschaffing doodstraf,Artikel3,,,,,,,,Artikel 3,,Vervallen
BWBR0001846,Wet afschaffing doodstraf,Artikel4,,,,,,,,Artikel 4,,Vervallen
BWBR0001846,Wet afschaffing doodstraf,Artikel5,,,,,,,,Artikel 5,,Vervallen
BWBR0001846,Wet afschaffing doodstraf,Artikel6,,,,,,,,Artikel 6,,Vervallen
BWBR0001846,Wet afschaffing doodstraf,Artikel7,,,,,,,,Artikel 7,,"De doodstraf, door de militaire strafwetten bedreigd, wordt, in de gevallen, voorzien bij het eerste lid van art. 2, vervangen: die met den strop door militaire gevangenisstraf van ten hoogste twintig jaren; die met den kogel door militaire gevangenisstraf van ten hoogste tien jaren."
BWBR0001846,Wet afschaffing doodstraf,Artikel8,,,,,,,,Artikel 8,,Vervallen
